question,cypher,type,database,explanation,syntax_error,timeout,returns_results,no_cypher
Find the top 3 users who have a label containing 'bsky.social'.,"MATCH (u:User)
WHERE u.label CONTAINS 'bsky.social'
RETURN u
ORDER BY u.size DESC
LIMIT 3",Complex Retrieval Queries,bluesky,"This Cypher query will retrieve the top 3 users whose labels contain the substring 'bsky.social'. Here's how it works:
1. `MATCH (u:User)`: This part of the query matches all nodes with the label `User`.
2. `WHERE u.label CONTAINS 'bsky.social'`: This filters the matched users to only those whose `label` property contains the substring 'bsky.social'.
3. `RETURN u`: This returns the filtered users.
4. `ORDER BY u.size DESC`: This orders the returned users by their `size` property in descending order, so the users with the largest `size` come first.
5. `LIMIT 3`: This limits the result to the top 3 users.",False,False,True,False
List the top 5 users who have a color attribute of '#4A708B' and size greater than 2.5.,"MATCH (u:User)
WHERE u.color = '#4A708B' AND u.size > 2.5
RETURN u.label, u.size
ORDER BY u.size DESC
LIMIT 5",Complex Retrieval Queries,bluesky,"This Cypher query retrieves the top 5 users who have a `color` attribute of '#4A708B' and a `size` greater than 2.5. Here's how it works:
1. `MATCH (u:User)`: This part of the query matches all nodes with the label `User`.
2. `WHERE u.color = '#4A708B' AND u.size > 2.5`: This filters the matched users to only include those with a `color` attribute of '#4A708B' and a `size` attribute greater than 2.5.
3. `RETURN u.label, u.size`: This specifies that the query should return the `label` and `size` properties of the filtered users.
4. `ORDER BY u.size DESC`: This orders the results by the `size` attribute in descending order, so the users with the largest sizes come first.
5. `LIMIT 5`: This limits the results to the top 5 users.",False,False,True,False
Which 3 users have interacted with those having a 'color' attribute of '#FF4500'?,"MATCH (u1:User)-[:INTERACTED]->(u2:User {color: '#FF4500'})
RETURN u1.label AS User, COUNT(*) AS Interactions
ORDER BY Interactions DESC
LIMIT 3",Complex Retrieval Queries,bluesky,"This Cypher query retrieves the top 3 users who have interacted with users having a 'color' attribute of '#FF4500'. Here's a step-by-step breakdown of the query:

1. `MATCH (u1:User)-[:INTERACTED]->(u2:User {color: '#FF4500'})`: This pattern matches all `User` nodes `u1` that have an `INTERACTED` relationship with other `User` nodes `u2` where the `color` property is '#FF4500'.

2. `RETURN u1.label AS User, COUNT(*) AS Interactions`: This returns the `label` of the interacting users (`u1`) and the count of interactions they have with users having the specified color.

3. `ORDER BY Interactions DESC`: This orders the results by the number of interactions in descending order.

4. `LIMIT 3`: This limits the results to the top 3 users.

The query effectively identifies and ranks the users based on their interactions with users of the specified color.",False,False,True,False
Show the top 5 users with the most negative y-coordinate values.,"MATCH (u:User)
RETURN u.label, u.y
ORDER BY u.y ASC
LIMIT 5",Complex Retrieval Queries,bluesky,"This Cypher query retrieves the top 5 users with the most negative y-coordinate values. Here's how it works:
1. `MATCH (u:User)`: This part of the query matches all nodes with the label `User`.
2. `RETURN u.label, u.y`: This part returns the `label` and `y` properties of the matched `User` nodes.
3. `ORDER BY u.y ASC`: This orders the results by the `y` property in ascending order, which means the most negative y-coordinate values will come first.
4. `LIMIT 5`: This limits the results to the top 5 users.",False,False,True,False
Who are the top 5 users with x-coordinate values less than -5000?,"MATCH (u:User)
WHERE u.x < -5000
RETURN u.label, u.x
ORDER BY u.x ASC
LIMIT 5",Complex Retrieval Queries,bluesky,"This Cypher query retrieves the top 5 users with x-coordinate values less than -5000. Here's how it works:
1. `MATCH (u:User)`: This part of the query matches all nodes with the label `User`.
2. `WHERE u.x < -5000`: This filters the users to only include those with an x-coordinate value less than -5000.
3. `RETURN u.label, u.x`: This returns the labels and x-coordinate values of the filtered users.
4. `ORDER BY u.x ASC`: This orders the results by the x-coordinate values in ascending order.
5. `LIMIT 5`: This limits the results to the top 5 users.",False,False,True,False
Which top 5 users have interacted with those having a 'color' attribute of '#87CEFA'?,"MATCH (u1:User)-[r:INTERACTED]->(u2:User)
WHERE u2.color = '#87CEFA'
WITH u1, COUNT(r) AS interactions
RETURN u1.label AS user, interactions
ORDER BY interactions DESC
LIMIT 5",Complex Retrieval Queries,bluesky,"This Cypher query retrieves the top 5 users who have interacted with users having a 'color' attribute of '#87CEFA'. Here's how it works:

1. `MATCH (u1:User)-[r:INTERACTED]->(u2:User)`: This pattern matches all interactions between users.
2. `WHERE u2.color = '#87CEFA'`: This filters the interactions to only those where the target user (`u2`) has a 'color' attribute of '#87CEFA'.
3. `WITH u1, COUNT(r) AS interactions`: This groups the results by the interacting user (`u1`) and counts the number of interactions.
4. `RETURN u1.label AS user, interactions`: This returns the label of the interacting user and the count of their interactions.
5. `ORDER BY interactions DESC`: This orders the results by the number of interactions in descending order.
6. `LIMIT 5`: This limits the results to the top 5 users.

The query effectively identifies the top 5 users who have the most interactions with users having the specified color attribute.",False,False,True,False
List the top 3 users who have interacted with others but have a size less than 2.,"MATCH (u:User)-[r:INTERACTED]->(:User)
WHERE u.size < 2
RETURN u.label AS user, COUNT(r) AS interactions
ORDER BY interactions DESC
LIMIT 3",Complex Retrieval Queries,bluesky,"This Cypher query retrieves the top 3 users who have interacted with others but have a size less than 2. Here's how it works:
1. `MATCH (u:User)-[r:INTERACTED]->(:User)`: This pattern matches users (`u`) who have interacted with other users.
2. `WHERE u.size < 2`: This filters the users to only include those with a `size` property less than 2.
3. `RETURN u.label AS user, COUNT(r) AS interactions`: This returns the label of the user and the count of interactions they have.
4. `ORDER BY interactions DESC`: This orders the results by the number of interactions in descending order.
5. `LIMIT 3`: This limits the results to the top 3 users.",False,False,True,False
Find 3 users who have interacted with users having an area greater than 5.,"MATCH (u1:User)-[:INTERACTED]->(u2:User)
WHERE u2.area > 5
RETURN DISTINCT u1.label
LIMIT 3",Complex Retrieval Queries,bluesky,"This Cypher query will retrieve the labels of 3 distinct users who have interacted with users having an area greater than 5. Here's how it works:
1. `MATCH (u1:User)-[:INTERACTED]->(u2:User)`: This pattern matches pairs of users where `u1` has interacted with `u2`.
2. `WHERE u2.area > 5`: This filters the matched pairs to only include those where the second user (`u2`) has an area greater than 5.
3. `RETURN DISTINCT u1.label`: This returns the labels of the first users (`u1`) who meet the criteria, ensuring that each user is listed only once.
4. `LIMIT 3`: This limits the result to 3 users.",False,False,True,False
Who are the top 5 users based on their area and size combined?,"MATCH (u:User)
WITH u, (u.area + u.size) AS combinedScore
RETURN u.label AS user, combinedScore
ORDER BY combinedScore DESC
LIMIT 5",Complex Retrieval Queries,bluesky,"This Cypher query retrieves the top 5 users based on the combined value of their `area` and `size` properties. 

1. The `MATCH (u:User)` clause finds all nodes with the label `User`.
2. The `WITH u, (u.area + u.size) AS combinedScore` clause calculates the combined score of `area` and `size` for each user and passes it along with the user node to the next part of the query.
3. The `RETURN u.label AS user, combinedScore` clause specifies that the query should return the user's label and their combined score.
4. The `ORDER BY combinedScore DESC` clause sorts the results in descending order based on the combined score.
5. The `LIMIT 5` clause restricts the results to the top 5 users.",False,False,True,False
Show 3 users who have a size greater than 2 and a color of '#FF7F50'.,"MATCH (u:User)
WHERE u.size > 2 AND u.color = '#FF7F50'
RETURN u.label, u.key, u.size, u.color
LIMIT 3",Complex Retrieval Queries,bluesky,"This Cypher query retrieves users who have a `size` property greater than 2 and a `color` property equal to '#FF7F50'. The `MATCH` clause is used to find all nodes with the label `User`. The `WHERE` clause filters these nodes based on the specified conditions. The `RETURN` clause specifies that the query should return the `label`, `key`, `size`, and `color` properties of the matching users. The `LIMIT 3` clause ensures that only 3 users are returned.",False,False,True,False
Which top 5 users have the most interactions?,"MATCH (u:User)-[r:INTERACTED]->(u2:User)
WITH u, COUNT(r) AS interactions
ORDER BY interactions DESC
LIMIT 5
RETURN u.label AS User, interactions",Complex Retrieval Queries,bluesky,"This Cypher query retrieves the top 5 users who have the most interactions. Here's how it works:
1. `MATCH (u:User)-[r:INTERACTED]->(u2:User)`: This pattern matches all `User` nodes that have `INTERACTED` relationships with other `User` nodes.
2. `WITH u, COUNT(r) AS interactions`: This clause groups the results by each user `u` and counts the number of `INTERACTED` relationships they have, storing this count in the `interactions` variable.
3. `ORDER BY interactions DESC`: This clause orders the users by the number of interactions in descending order.
4. `LIMIT 5`: This clause limits the results to the top 5 users.
5. `RETURN u.label AS User, interactions`: This clause returns the label of the user and the number of interactions they have.",False,False,True,False
List the 3 users who have interacted most frequently based on the 'weight' attribute of INTERACTED.,"MATCH (u1:User)-[r:INTERACTED]->(u2:User)
RETURN u1.label AS user, SUM(r.weight) AS total_interactions
ORDER BY total_interactions DESC
LIMIT 3",Complex Retrieval Queries,bluesky,"This Cypher query retrieves the 3 users who have interacted most frequently based on the 'weight' attribute of the INTERACTED relationship. Here's how it works:

1. `MATCH (u1:User)-[r:INTERACTED]->(u2:User)`: This pattern matches all interactions between users.
2. `RETURN u1.label AS user, SUM(r.weight) AS total_interactions`: This returns each user along with the total sum of the 'weight' attribute of their interactions.
3. `ORDER BY total_interactions DESC`: This orders the results by the total number of interactions in descending order.
4. `LIMIT 3`: This limits the results to the top 3 users with the highest total interactions.",False,False,True,False
What are the top 3 users by the smallest x-coordinate values?,"MATCH (u:User)
RETURN u.label, u.x
ORDER BY u.x ASC
LIMIT 3",Complex Retrieval Queries,bluesky,"This Cypher query retrieves the top 3 users with the smallest x-coordinate values. Here's how it works:
1. `MATCH (u:User)`: This part of the query matches all nodes with the label `User`.
2. `RETURN u.label, u.x`: This part returns the `label` and `x` properties of the matched `User` nodes.
3. `ORDER BY u.x ASC`: This orders the results by the `x` property in ascending order, meaning the smallest x-coordinate values will come first.
4. `LIMIT 3`: This limits the results to the top 3 users.",False,False,True,False
Find the top 5 users with 'color' attribute set to '#3CB371'.,"MATCH (u:User)
WHERE u.color = '#3CB371'
RETURN u
ORDER BY u.size DESC
LIMIT 5",Complex Retrieval Queries,bluesky,"This Cypher query retrieves the top 5 users with the 'color' attribute set to '#3CB371'. Here's how it works:
1. `MATCH (u:User)`: This part of the query matches all nodes with the label `User`.
2. `WHERE u.color = '#3CB371'`: This filters the matched users to only include those with the `color` property set to '#3CB371'.
3. `RETURN u`: This returns the filtered users.
4. `ORDER BY u.size DESC`: This orders the returned users by their `size` property in descending order, so the users with the largest `size` come first.
5. `LIMIT 5`: This limits the result to the top 5 users.",False,False,True,False
Who are the 3 users with the highest y-coordinate values?,"MATCH (u:User)
RETURN u.label, u.y
ORDER BY u.y DESC
LIMIT 3",Complex Retrieval Queries,bluesky,This Cypher query retrieves the labels and y-coordinate values of the users. It orders the results by the y-coordinate in descending order to get the users with the highest y-coordinate values. The `LIMIT 3` clause ensures that only the top 3 users are returned.,False,False,True,False
List the top 5 users who have interacted with 'louisgray.com'.,"MATCH (u:User {label: ""louisgray.com""})<-[:INTERACTED]-(interactingUser:User)
RETURN interactingUser.label AS user, COUNT(*) AS interactions
ORDER BY interactions DESC
LIMIT 5",Complex Retrieval Queries,bluesky,"This Cypher query retrieves the top 5 users who have interacted with the user labeled ""louisgray.com"". Here's a step-by-step explanation of how the query works:

1. `MATCH (u:User {label: ""louisgray.com""})<-[:INTERACTED]-(interactingUser:User)`: This part of the query matches the user node with the label ""louisgray.com"" and finds all other user nodes that have an `INTERACTED` relationship pointing to it.

2. `RETURN interactingUser.label AS user, COUNT(*) AS interactions`: This part returns the labels of the interacting users and the count of interactions they have with ""louisgray.com"".

3. `ORDER BY interactions DESC`: This orders the results by the number of interactions in descending order.

4. `LIMIT 5`: This limits the results to the top 5 users.

By following these steps, the query will list the top 5 users who have interacted the most with ""louisgray.com"".",False,False,True,False
Which 3 users have the smallest size attribute?,"MATCH (u:User)
RETURN u.label, u.size
ORDER BY u.size ASC
LIMIT 3",Complex Retrieval Queries,bluesky,"This Cypher query retrieves the labels and sizes of the 3 users with the smallest size attribute. Here's how it works:
1. `MATCH (u:User)`: This part of the query matches all nodes with the label `User`.
2. `RETURN u.label, u.size`: This specifies that we want to return the `label` and `size` properties of the matched `User` nodes.
3. `ORDER BY u.size ASC`: This orders the results by the `size` property in ascending order, so the smallest sizes come first.
4. `LIMIT 3`: This limits the results to the top 3 users with the smallest sizes.",False,False,True,False
What are the top 5 users with the largest area?,"MATCH (u:User)
RETURN u.label, u.area
ORDER BY u.area DESC
LIMIT 5",Complex Retrieval Queries,bluesky,"This Cypher query retrieves the top 5 users with the largest area. Here's how it works:
1. `MATCH (u:User)`: This part of the query matches all nodes with the label `User`.
2. `RETURN u.label, u.area`: This part returns the `label` and `area` properties of the matched `User` nodes.
3. `ORDER BY u.area DESC`: This orders the results by the `area` property in descending order, so the users with the largest areas come first.
4. `LIMIT 5`: This limits the results to the top 5 users.",False,False,True,False
List the top 5 users with y-coordinates within the range of 5000 to 6000.,"MATCH (u:User)
WHERE u.y >= 5000 AND u.y <= 6000
RETURN u.label, u.y
ORDER BY u.y DESC
LIMIT 5",Simple Retrieval Queries,bluesky,"This Cypher query retrieves the top 5 users whose y-coordinates fall within the range of 5000 to 6000. Here's a step-by-step breakdown of the query:

1. `MATCH (u:User)`: This part of the query matches all nodes with the label `User`.
2. `WHERE u.y >= 5000 AND u.y <= 6000`: This filters the matched users to only include those whose `y` property is between 5000 and 6000.
3. `RETURN u.label, u.y`: This specifies that the query should return the `label` and `y` properties of the filtered users.
4. `ORDER BY u.y DESC`: This orders the results by the `y` property in descending order.
5. `LIMIT 5`: This limits the results to the top 5 users based on the `y` property.

By following these steps, the query ensures that only the top 5 users within the specified y-coordinate range are returned.",False,False,True,False
Which 3 users have the closest x-coordinate to 0?,"MATCH (u:User)
RETURN u.label, u.x
ORDER BY abs(u.x) ASC
LIMIT 3",Simple Retrieval Queries,bluesky,"This Cypher query retrieves the 3 users whose x-coordinate is closest to 0. Here's how it works:
1. `MATCH (u:User)`: This part of the query matches all nodes with the label `User`.
2. `RETURN u.label, u.x`: This part returns the `label` and `x` properties of each user.
3. `ORDER BY abs(u.x) ASC`: This orders the users by the absolute value of their `x` coordinate in ascending order, which effectively finds the users closest to the x-coordinate 0.
4. `LIMIT 3`: This limits the result to the top 3 users.",False,False,True,False
What are the areas of the top 3 users with a size greater than 3.0?,"MATCH (u:User)
WHERE u.size > 3.0
RETURN u.label, u.area
ORDER BY u.area DESC
LIMIT 3",Simple Retrieval Queries,bluesky,"This Cypher query retrieves the areas of the top 3 users whose size is greater than 3.0. Here's a step-by-step breakdown of the query:

1. `MATCH (u:User)`: This part of the query matches all nodes with the label `User`.
2. `WHERE u.size > 3.0`: This filters the users to only include those with a `size` property greater than 3.0.
3. `RETURN u.label, u.area`: This returns the `label` and `area` properties of the filtered users.
4. `ORDER BY u.area DESC`: This orders the results by the `area` property in descending order, so the users with the largest areas come first.
5. `LIMIT 3`: This limits the results to the top 3 users.

By following these steps, the query will return the areas of the top 3 users with a size greater than 3.0.",False,False,True,False
Which 5 users have the least number of interactions?,"MATCH (u:User)-[r:INTERACTED]->()
WITH u, COUNT(r) AS interactions
ORDER BY interactions ASC
LIMIT 5
RETURN u.label AS User, interactions",Complex Retrieval Queries,bluesky,"This Cypher query retrieves the 5 users with the least number of interactions. Here's how it works:

1. `MATCH (u:User)-[r:INTERACTED]->()`: This pattern matches all `User` nodes and their outgoing `INTERACTED` relationships.
2. `WITH u, COUNT(r) AS interactions`: This clause groups the results by each user and counts the number of `INTERACTED` relationships for each user, aliasing this count as `interactions`.
3. `ORDER BY interactions ASC`: This orders the users by the number of interactions in ascending order (from least to most).
4. `LIMIT 5`: This limits the results to the top 5 users with the least number of interactions.
5. `RETURN u.label AS User, interactions`: This returns the labels of the users and their corresponding number of interactions.

By following these steps, the query identifies and returns the 5 users with the least number of interactions.",False,False,True,False
Show the top 3 users who have a label containing the word 'com'.,"MATCH (u:User)
WHERE u.label CONTAINS 'com'
RETURN u.label, u.key, u.y, u.color, u.x, u.area, u.size
ORDER BY u.size DESC
LIMIT 3",Complex Retrieval Queries,bluesky,"This Cypher query retrieves the top 3 users whose labels contain the word 'com'. The query starts by matching all nodes with the label `User`. It then filters these nodes to only include those where the `label` property contains the substring 'com'. The results are ordered by the `size` property in descending order to get the top users based on their size. Finally, it limits the results to the top 3 users and returns their properties.",False,False,True,False
Who are the top 5 users based on the sum of their area and size attributes?,"MATCH (u:User)
RETURN u.label AS user, (u.area + u.size) AS total
ORDER BY total DESC
LIMIT 5",Complex Retrieval Queries,bluesky,"This Cypher query retrieves the top 5 users based on the sum of their `area` and `size` attributes. Here's how it works:

1. `MATCH (u:User)`: This part of the query matches all nodes with the label `User`.
2. `RETURN u.label AS user, (u.area + u.size) AS total`: This part returns the `label` of each user and calculates the sum of their `area` and `size` attributes, aliasing this sum as `total`.
3. `ORDER BY total DESC`: This orders the results by the `total` in descending order, so the users with the highest sums come first.
4. `LIMIT 5`: This limits the results to the top 5 users.

The query effectively ranks users based on the combined value of their `area` and `size` attributes and returns the top 5.",False,False,True,False
What are the top 5 users by the size property?,"MATCH (u:User)
RETURN u.label, u.size
ORDER BY u.size DESC
LIMIT 5",Simple Aggregation Queries,bluesky,"This Cypher query retrieves the top 5 users based on the `size` property. Here's how it works:
1. `MATCH (u:User)`: This part of the query matches all nodes with the label `User`.
2. `RETURN u.label, u.size`: This returns the `label` and `size` properties of the matched `User` nodes.
3. `ORDER BY u.size DESC`: This orders the results by the `size` property in descending order, so the users with the largest `size` values come first.
4. `LIMIT 5`: This limits the results to the top 5 users.",False,False,True,False
Which users have interacted with users having a color '#3CB371'?,"MATCH (u1:User)-[:INTERACTED]->(u2:User)
WHERE u2.color = '#3CB371'
RETURN DISTINCT u1.label",Pathfinding Queries,bluesky,"This Cypher query retrieves the labels of users who have interacted with users having the color property set to '#3CB371'. 

1. The `MATCH` clause finds pairs of users (u1 and u2) where u1 has an `INTERACTED` relationship with u2.
2. The `WHERE` clause filters these pairs to only include those where u2 has the color '#3CB371'.
3. The `RETURN DISTINCT` clause ensures that only unique labels of users (u1) are returned, avoiding duplicates.",False,False,True,False
What are the labels of the top 5 users with the largest interaction size in their relationships?,"MATCH (u1:User)-[r:INTERACTED]->(u2:User)
RETURN u1.label AS userLabel, SUM(r.size) AS totalInteractionSize
ORDER BY totalInteractionSize DESC
LIMIT 5",Pathfinding Queries,bluesky,"This Cypher query retrieves the labels of the top 5 users with the largest interaction size in their relationships. Here's how it works:

1. `MATCH (u1:User)-[r:INTERACTED]->(u2:User)`: This pattern matches all `User` nodes that have an `INTERACTED` relationship with other `User` nodes.
2. `RETURN u1.label AS userLabel, SUM(r.size) AS totalInteractionSize`: This clause returns the label of the user (`u1.label`) and the total interaction size (`SUM(r.size)`) for each user.
3. `ORDER BY totalInteractionSize DESC`: This clause orders the results by the total interaction size in descending order, so the users with the largest interaction sizes come first.
4. `LIMIT 5`: This clause limits the results to the top 5 users.

By summing the `size` property of the `INTERACTED` relationships for each user and ordering the results in descending order, the query identifies the top 5 users with the largest interaction sizes.",False,False,True,False
Show the interaction relationships of 'vtcodes.dev' where the interaction size is greater than 0.5.,"MATCH (u1:User)-[r:INTERACTED]->(u2:User)
WHERE u1.label = 'vtcodes.dev' AND r.size > 0.5
RETURN u1.label AS SourceUser, u2.label AS TargetUser, r.size AS InteractionSize",Pathfinding Queries,bluesky,"This Cypher query retrieves the interaction relationships of the user with the label 'vtcodes.dev' where the interaction size is greater than 0.5. 

1. The `MATCH` clause finds all `User` nodes `u1` that have an `INTERACTED` relationship `r` with other `User` nodes `u2`.
2. The `WHERE` clause filters these relationships to only include those where the `label` property of `u1` is 'vtcodes.dev' and the `size` property of the `INTERACTED` relationship is greater than 0.5.
3. The `RETURN` clause outputs the label of the source user (`u1.label`), the label of the target user (`u2.label`), and the size of the interaction (`r.size`).",False,False,True,False
